timestamp,net_assets,principal,total_assets
2026-09-19T13:30:37.206107+08:00,305194.11,303569,456978.61
2026-09-19T13:42:37.666354+08:00,305165.47,303569,456949.97
2026-09-19T13:45:05.004747+08:00,305134.02,303569,456918.52
2026-09-19T15:35:06.168558+08:00,304929.48,303569,456713.98
2026-09-19T15:40:54.909697+08:00,304877.2,303569,456661.7
2026-09-19T15:48:13.205841+08:00,304840.02,303569,456624.52
2026-09-19T16:17:41.947254+08:00,305050.03,303569,456834.53
2026-09-19T16:24:49.737478+08:00,305150.92,303569,456935.42
2026-09-19T16:31:36.930717+08:00,305177.89,303569,456962.39
2026-09-19T16:34:47.142492+08:00,305241.27,303569,457025.77
2026-09-19T16:44:26.200748+08:00,305210.67,303569,456995.17
2026-09-19T16:51:50.616129+08:00,305291.27,303569,457075.77
2026-09-19T16:53:27.853166+08:00,305276.28,303569,457060.78
2026-09-19T21:04:23.088159+08:00,305140.35,303569,456924.85
2026-09-20T00:23:16.721889+08:00,305164.32,303569,456948.82
2026-09-20T01:13:04.039960+08:00,305206.58,303569,456991.08
2026-09-20T01:27:42.080968+08:00,304831.7,303569,456616.2
2026-09-20T02:10:33.537587+08:00,304737.67,303569,456522.17
2026-09-20T02:15:28.454777+08:00,304543.39,303569,456327.89
2026-09-20T02:19:28.455474+08:00,304661.17,303569,456445.67
2026-09-20T02:26:31.172595+08:00,304674.87,303569,456459.37
2026-09-20T02:40:28.724997+08:00,304785.4,303569,456569.9
2026-09-20T02:52:05.997797+08:00,304648.62,303569,456433.12
